name,url,username,password,note
Example Site,https://www.example.com,utente1@example.com,P@ssw0rd123!,note1
Test Portal,https://portal.testsite.local,mario.rossi@testsite.local,T3st!ng2026,note2
Demo App,https://app.demo-platform.dev,luca.bianchi@demo.dev,D3mo#4567,note3
Intranet Aziendale,https://intranet.azienda.local,giulia.verdi@azienda.local,Az!enda789,note4
Cloud Service,https://cloud.fakecloud.io,admin@fakecloud.io,Cl0ud$ecure,note5
Shop Online,https://shop.fakestore.test,cliente01@fakestore.test,Sh0p!ng22,note6
Forum Community,https://forum.community-demo.net,user_forum,MyF0rumPass!,note7
CRM System,https://crm.business-demo.org,sales.agent@business-demo.org,Crm#2026!,note8
Analytics Dashboard,https://analytics.dataportal.dev,data.user@dataportal.dev,Data!nsight9,note9
Project Manager,https://pm.collab-tool.local,project.lead@collab.local,Pr0ject@Lead,note10
